num,character,char_slug,emotion,text,input_text,filename
001,주인공(사령관),commander,[resolute][hesitant][curious],"...얼마나, 잤지?","[resolute][hesitant][curious] ...얼마나, 잤지?",001_commander.mp3
002,주인공(사령관),commander,[resolute][hesitant][curious],지구는... 아직도?,[resolute][hesitant][curious] 지구는... 아직도?,002_commander.mp3
003,주인공(사령관),commander,[resolute][hesitant],"...고향이, 아직 저 위에 있군.","[resolute][hesitant] ...고향이, 아직 저 위에 있군.",003_commander.mp3
004,주인공(사령관),commander,[resolute][hesitant][curious],…사람이? 아직 누가 남아 있다고?,[resolute][hesitant][curious] …사람이? 아직 누가 남아 있다고?,004_commander.mp3
005,주인공(사령관),commander,[resolute][curious],고작 장사로 봉쇄를 뚫겠다고?,[resolute][curious] 고작 장사로 봉쇄를 뚫겠다고?,005_commander.mp3
006,주인공(사령관),commander,[resolute],좀 오래 잠들어 있었습니다. 이제 막 깼고요.,[resolute] 좀 오래 잠들어 있었습니다. 이제 막 깼고요.,006_commander.mp3
007,주인공(사령관),commander,[resolute],"지금은 고철뿐입니다. 하지만 곧, 훨씬 큰 걸 들고 오죠.","[resolute] 지금은 고철뿐입니다. 하지만 곧, 훨씬 큰 걸 들고 오죠.",007_commander.mp3
008,주인공(사령관),commander,[resolute][hesitant][curious],거북선…?,[resolute][hesitant][curious] 거북선…?,008_commander.mp3
009,주인공(사령관),commander,[resolute][hesitant][curious],"…그 사람은, 지금 어디 있지?","[resolute][hesitant][curious] …그 사람은, 지금 어디 있지?",009_commander.mp3
010,주인공(사령관),commander,[resolute],잘 부탁해.,[resolute] 잘 부탁해.,010_commander.mp3
011,주인공(사령관),commander,[resolute],구한다.,[resolute] 구한다.,011_commander.mp3
012,주인공(사령관),commander,[resolute],간다.,[resolute] 간다.,012_commander.mp3
013,주인공(사령관),commander,[resolute],"크리그를, 벌써 여기서 만나는군.","[resolute] 크리그를, 벌써 여기서 만나는군.",013_commander.mp3
014,주인공(사령관),commander,[resolute][hesitant],…사람부터 꺼낸다.,[resolute][hesitant] …사람부터 꺼낸다.,014_commander.mp3
015,주인공(사령관),commander,[resolute],"백구, 62%면 충분해.","[resolute] 백구, 62%면 충분해.",015_commander.mp3
016,주인공(사령관),commander,[resolute],마르코 폴로. 이 구역 독립 중개상이라고 했어. 치크스 눈 피해 밀무역하는 사람 — 그가 통신 장비를 갖고 있을 거야.,[resolute] 마르코 폴로. 이 구역 독립 중개상이라고 했어. 치크스 눈 피해 밀무역하는 사람 — 그가 통신 장비를 갖고 있을 거야.,016_commander.mp3
017,주인공(사령관),commander,[resolute],여긴 은하 공용 항로다. 비켜.,[resolute] 여긴 은하 공용 항로다. 비켜.,017_commander.mp3
018,주인공(사령관),commander,[resolute],"발굴한다. 살아있는 거라면, 더더욱.","[resolute] 발굴한다. 살아있는 거라면, 더더욱.",018_commander.mp3
019,주인공(사령관),commander,[resolute],오르크를 잡으면 다음 경로가 열려. 출발한다.,[resolute] 오르크를 잡으면 다음 경로가 열려. 출발한다.,019_commander.mp3
020,주인공(사령관),commander,[resolute],"치크스 변이 포자 ×3, 마침 이 구역 화물이다. 위장 미끼로 써먹자.","[resolute] 치크스 변이 포자 ×3, 마침 이 구역 화물이다. 위장 미끼로 써먹자.",020_commander.mp3
021,주인공(사령관),commander,[resolute][hesitant],설계도를 없앤다. 그리고 테슬라도 산 채로 꺼낸다. (짧게) …사람부터다.,[resolute][hesitant] 설계도를 없앤다. 그리고 테슬라도 산 채로 꺼낸다. (짧게) …사람부터다.,021_commander.mp3
022,주인공(사령관),commander,[resolute][curious],"지하 감옥 진입 루트 — 마르코, 구역 지도 뽑을 수 있어?","[resolute][curious] 지하 감옥 진입 루트 — 마르코, 구역 지도 뽑을 수 있어?",022_commander.mp3
023,주인공(사령관),commander,[resolute],"이순신 장군이 수백 년째 저기 갇혀 있다. 오늘, 우리가 끝낸다.","[resolute] 이순신 장군이 수백 년째 저기 갇혀 있다. 오늘, 우리가 끝낸다.",023_commander.mp3
024,주인공(사령관),commander,[resolute],장군. 함께 갑시다.,[resolute] 장군. 함께 갑시다.,024_commander.mp3
025,주인공(사령관),commander,[resolute],함께 처리하자.,[resolute] 함께 처리하자.,025_commander.mp3
026,주인공(사령관),commander,[resolute],아우레우스 정보 칩으로 좌표 분석. 진입한다.,[resolute] 아우레우스 정보 칩으로 좌표 분석. 진입한다.,026_commander.mp3
027,주인공(사령관),commander,[resolute],"아이젠클로. 100년 봉쇄의 집행관. 오늘, 네 쇠사슬을 여기서 끊는다.","[resolute] 아이젠클로. 100년 봉쇄의 집행관. 오늘, 네 쇠사슬을 여기서 끊는다.",027_commander.mp3
028,주인공(사령관),commander,[resolute],"들어간다. 아우레우스 태양핵 셋, 메카니카 양자칩 셋 — 충분해.","[resolute] 들어간다. 아우레우스 태양핵 셋, 메카니카 양자칩 셋 — 충분해.",028_commander.mp3
029,주인공(사령관),commander,[resolute][hesitant],... 진입한다.,[resolute][hesitant] ... 진입한다.,029_commander.mp3
030,주인공(사령관),commander,[resolute],전 함대. 진형 학익진. 거북선 중앙. 진입한다.,[resolute] 전 함대. 진형 학익진. 거북선 중앙. 진입한다.,030_commander.mp3
031,주인공(사령관),commander,[resolute],아이젠클로. 100년 동안 인류를 가뒀던 책임 — 오늘 끝낸다.,[resolute] 아이젠클로. 100년 동안 인류를 가뒀던 책임 — 오늘 끝낸다.,031_commander.mp3
032,주인공(사령관),commander,[resolute][hesitant],... 발사.,[resolute][hesitant] ... 발사.,032_commander.mp3
033,주인공(사령관),commander,[resolute][hesitant],... 모두. 발사.,[resolute][hesitant] ... 모두. 발사.,033_commander.mp3
034,주인공(사령관),commander,[resolute][hesitant],... 백구.,[resolute][hesitant] ... 백구.,034_commander.mp3
035,주인공(사령관),commander,[resolute][hesitant],... 내려간다.,[resolute][hesitant] ... 내려간다.,035_commander.mp3
036,주인공(사령관),commander,[resolute][hesitant],... 어디든. 우리는 함께다.,[resolute][hesitant] ... 어디든. 우리는 함께다.,036_commander.mp3
037,주인공(사령관),commander,[resolute],이순신 제독님.,[resolute] 이순신 제독님.,037_commander.mp3
038,주인공(사령관),commander,[resolute],아직 봉쇄 중입니다.,[resolute] 아직 봉쇄 중입니다.,038_commander.mp3
039,주인공(사령관),commander,[resolute],네. 100년이 지났습니다.,[resolute] 네. 100년이 지났습니다.,039_commander.mp3
040,주인공(사령관),commander,[resolute][hesitant][curious],당신은…?,[resolute][hesitant][curious] 당신은…?,040_commander.mp3
041,주인공(사령관),commander,[resolute],찾았습니다. 설계도 1권을 가지고 있습니다.,[resolute] 찾았습니다. 설계도 1권을 가지고 있습니다.,041_commander.mp3
042,주인공(사령관),commander,[resolute][curious],예상했다고요?,[resolute][curious] 예상했다고요?,042_commander.mp3
