num,char,slug,clip,clip_f,clip_en,clip_en_f,lang,text
001,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_001.mp3,02_Assets/audio/voice/commander_f/commander_f_001.mp3,02_Assets/audio/voice_en/commander/commander_001.mp3,02_Assets/audio/voice_en/commander_f/commander_f_001.mp3,ko,"얼마나, 잤지?"
002,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_002.mp3,02_Assets/audio/voice/commander_f/commander_f_002.mp3,02_Assets/audio/voice_en/commander/commander_002.mp3,02_Assets/audio/voice_en/commander_f/commander_f_002.mp3,ko,지구는... 아직도?
003,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_003.mp3,02_Assets/audio/voice/commander_f/commander_f_003.mp3,02_Assets/audio/voice_en/commander/commander_003.mp3,02_Assets/audio/voice_en/commander_f/commander_f_003.mp3,ko,"고향이, 아직 저 위에 있군."
004,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_004.mp3,02_Assets/audio/voice/commander_f/commander_f_004.mp3,02_Assets/audio/voice_en/commander/commander_004.mp3,02_Assets/audio/voice_en/commander_f/commander_f_004.mp3,ko,사람이? 아직 누가 남아 있다고?
005,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_005.mp3,02_Assets/audio/voice/commander_f/commander_f_005.mp3,02_Assets/audio/voice_en/commander/commander_005.mp3,02_Assets/audio/voice_en/commander_f/commander_f_005.mp3,ko,고작 장사로 봉쇄를 뚫겠다고?
006,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_006.mp3,02_Assets/audio/voice/commander_f/commander_f_006.mp3,02_Assets/audio/voice_en/commander/commander_006.mp3,02_Assets/audio/voice_en/commander_f/commander_f_006.mp3,ko,좀 오래 잠들어 있었습니다. 이제 막 깼고요.
007,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_007.mp3,02_Assets/audio/voice/commander_f/commander_f_007.mp3,02_Assets/audio/voice_en/commander/commander_007.mp3,02_Assets/audio/voice_en/commander_f/commander_f_007.mp3,ko,"지금은 고철뿐입니다. 하지만 곧, 훨씬 큰 걸 들고 오죠."
008,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_008.mp3,02_Assets/audio/voice/commander_f/commander_f_008.mp3,02_Assets/audio/voice_en/commander/commander_008.mp3,02_Assets/audio/voice_en/commander_f/commander_f_008.mp3,ko,거북선…?
009,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_009.mp3,02_Assets/audio/voice/commander_f/commander_f_009.mp3,02_Assets/audio/voice_en/commander/commander_009.mp3,02_Assets/audio/voice_en/commander_f/commander_f_009.mp3,ko,"그 사람은, 지금 어디 있지?"
010,주인공(사령관),commander,02_Assets/audio/voice/commander/commander_010.mp3,02_Assets/audio/voice/commander_f/commander_f_010.mp3,02_Assets/audio/voice_en/commander/commander_010.mp3,02_Assets/audio/voice_en/commander_f/commander_f_010.mp3,ko,잘 부탁해.
