clip,line_text,recognized
gagarin_001.mp3,칩 돌려줘서 고맙다. 보답으로 같이 가주지 — 어차피 이 근방에 나보다 잘 나는 녀석도 없으니까.,집 돌려줘서 고맙다. 보답으로 같이 가주세. 어차피 이 근방에 나보다 잘 나는 녀석도 없으니까.
gagarin_002.mp3,"넥서스 프라임 LHS 광산 쪽, 아주 오래된 통신 패턴이 잡혀. 100년은 묵었고 — 이순신, 그 이름과 엮여 있어.","넥서스 프라임 엘에이치스 광산초. 아주 오래된 통신 패턴이 잡혀. 백년은 묵었고, 이순신 그 이름과 엮여 있어."
gagarin_003.mp3,"덤으로, 데이터 안에 외피 도면도 있더군. 가시 돌기 구조 — 너희 골격 단편이랑 딱 맞아.",덤으로 데이터 안에 외피 도면도 있더군. 가시돌기 구조. 너희 골격 단편이랑 딱 맞아.
gagarin_004.mp3,신호는 더 깊은 곳이야. 근데… 크리그 해적단 표식이 보여.,신호는 더 깊은 곳이야. 근데 크리그 해적단 표식이 보여.
gagarin_005.mp3,여기야. 이 안테나가 100년간 이순신 신호를 중계해온 거지.,여기야. 이 안테나가 백년간 이순신 신호를 중계해온 것에
gagarin_006.mp3,"서두르자. 좌표만 따면, 다음 행선지가 정해져.",서두르자. 좌표만 따면 다음 행선지가 정해져.
gagarin_007.mp3,"그래도 이순신이 거기 있어. 크리그를 멈출 열쇠도, 거기 있고.",그래도 이순신이 거기 있어. 크리그를 멈출 열쇠도 거기 있고.
gagarin_008.mp3,"이 항로 — 옛 지구 시절, 한 우주국이 비밀 분류해 둔 경로야. 지금은 크리그가 쓰고 있어. 메카니카 부품이 글리제 436 분지 교역소에서 크리그로 넘어가. 에이전트 코드명 '오르크'.","이 항로, 옛 지구 시절 한 우주국이 비밀 분류해 둔 경로야. 지금은 크리그가 쓰고 있어. 메카니카 부품이 글리제 사백삼십육분지 교역소에서 크리그로 넘어가. 에이전트 코드명 오르크."
gagarin_009.mp3,저 교역소 — 공식 목록에 없는 화물이 계속 들어와. 에이전트 '오르크'가 여기 담당이야.,저 교역소 공식 목록에 없는 화물이 계속 들어와. 에이전트 오르크가 여기 담당이야.
gagarin_010.mp3,테슬라가 납치됐어. 메카니카 최고 설계자 — 크리그가 억지로 생체 병기를 설계하게 만들고 있어.,캐슬러가 납치됐어. 메카니카 최고 설계자 크리그가 억지로 생체 병기를 설계하게 만들고 있어.
