clip,line_text,recognized
gwanggaeto_001.mp3,당신이 사령관인가. 크리그를 상대로 물러서지 않는다고? …마음에 드는군.,당신이 사령관인가? 크리그를 상대로 물러서지 않는다고? 마음에 드는군.
gwanggaeto_002.mp3,소문은 정확하군. 나는 이 은하 어느 세력에도 무릎 꿇지 않아. 자유 상인이지. 허나 — 크리그 같은 것들과는 거래하지 않는다.,소문은 정확하군. 나는 이 은화 어느 세력에도 무릎 꿇지 않아. 자유상인이지. 허나 크리그같은 것들과는 거래하지 않는다.
gwanggaeto_003.mp3,"이 행성을 내 손에 넣어 보여라. 경매에서 최고가를 불러, 이 땅을 가질 자격을 증명해. 그러면 당신과 함께 가지. 정복할 가치가 있는 상대인지 — 내 눈으로 보겠다.",이 행성을 내 손에 넣어 보여라. 경매에서 최고가를 불러. 이 땅을 가질 자격을 증명해. 그러면 당신과 함께 가재. 정복할 가치가 있는 상대인지 내 눈으로 보겠다.
gwanggaeto_004.mp3,우르사 메이저 — 진짜 보스다. 직접 잡아야 끝난다.,오르사 메이저 진짜 보스다. 직접 잡아야 끝난다.
gwanggaeto_005.mp3,저기 — 빛이 새어 나온다.,저기 빛이 새어나온다.
gwanggaeto_006.mp3,저 요새를 내 눈으로 무너뜨리는 날이 왔군.,저 요새를 내 눈으로 무너뜨리는 날이 왔군.
gwanggaeto_007.mp3,정복은 — 손이 떨릴 때 멈춰야 한다. 지금 우리 손은 — 떨리지 않는다.,정복은 손이 떨릴 때 멈춰야 한다. 지금 우리 손은 떨리지 않는다.
gwanggaeto_008.mp3,정복할 시간이다.,정복할 시간이다.
gwanggaeto_009.mp3,우익 — 정리 완료. 호위 친위대 잔존 0.,위치 정리 완료. 호위 친위대 잔존 제로.
gwanggaeto_010.mp3,정복의 깃발 — 마지막 일격!,정복의 깃발 마지막 일격!
gwanggaeto_011.mp3,우리가 새 땅을 열었다. 정복이 아닌 — 해방으로.,우리가 새 땅을 열었다. 정복이 아닌 해방으로.
gwanggaeto_012.mp3,정복은 끝. 이제는 — 함께 일구는 시간이다.,정복은 끝. 이제는 함께 일구는 시간이다.
gwanggaeto_013.mp3,"1,700년. 내 땅이 다시 내 손에 돌아왔구나.",일칠백년. 내 땅이 다시 내 손에 돌아왔구나.
gwanggaeto_014.mp3,사령관이라 했소? 내 땅을 되찾아준 자가 나타나기를 기다렸소. 무엇을 원하오.,사령관이라 했소. 내 땅을 되찾아준 자가 나타나기를 기다렸소. 무엇을 원하오?
gwanggaeto_015.mp3,고구려 정복자가 지구를 정복당한 채 두겠느냐. 내가 선봉에 선다.,고구려 정복자가 지구를 정복도 한 채 주겠느냐? 내가 선봉에 선다.
gwanggaeto_016.mp3,"사령관, 최종 명령권은 그대에게 있소.",사령관. 최종 명령권은 그대에게 있소.
