clip,line_text,recognized
yisunsin_001.mp3,"[옛 지구의 언어] …이곳이. 얼마나, 흘렀느냐.",이것이 얼마나 흘렀느냐?
yisunsin_002.mp3,"100년이라. 내 전술이 적의 방패가 되어, 그 긴 세월 동료들을 막았다는 것이냐. …나를 깨운 자가 사령관인가. 빚을 졌다.",백년이라. 내 전술이 적의 방패가 되어 그 긴 세월 동료들을 막았다는 것이냐? 나를 깨운 자가 사령관인가. 빚을 졌다.
yisunsin_003.mp3,무기와 장갑이 함께 봉인돼 있었다. 가져가시오 — 내 손은 이미 그대의 손이 되었으니.,무기와 장갑이 함께 봉인돼 있었다. 가져가시오. 내 손은 이미 그대의 손이 되었으니.
yisunsin_004.mp3,"패배는 한 번으로 족하다. 두 번은, 내가 허락하지 않는다.",패배는 한 번으로 족하다. 두 번은 내가 허락하지 않는다.
yisunsin_005.mp3,"아이젠클로… 나를 봉인한 손이 저자였군. 내 검을 적의 방패로 삼다니. 다음 단계에서, 반드시 거둘 빚이다.",아이젠클로. 나를 봉인한 손이 저자였군. 내 검을 적의 방패로 삼다니. 다음 단계에서 반드시 거둘 빚이다.
yisunsin_006.mp3,"흩어진 칼이 모이면 진형이 된다. 다음 계획을 세우자, 사령관.","흩어진 칼이 모이면 진영이 된다. 다음 계획을 세우자, 사령관."
yisunsin_007.mp3,"동쪽 항로 주파수… 벙커존 지하. 저항군 암호 채널이다. 내가 봉인되기 전, 함께 싸운 전우들의 후예가 그 기지를 지키고 있어.",동쪽 항로 주파수 벙커존 지하 저항군 암호 채널이다. 내가 봉인되기 전 함께 싸운 전우들의 후예가 그 기지를 지키고 있어.
yisunsin_008.mp3,외톨이로 100년을 버텼다면 — 그래서 더 강한 거다.,외톨이로 백년을 버텼다면 그래서 더 강한 거다.
yisunsin_009.mp3,"크리그에서 빼낸 물자를 들고 가면, 우리를 믿어줄 거다.",크리그에서 빼낸 물자를 들고 가면 우리를 믿어줄 거다.
yisunsin_010.mp3,"당신들이 살아있었군. 오래, 기다렸겠소.",당신들이 살아있었군. 오래 기다렸겠소.
yisunsin_011.mp3,내부에 침투했군. 보급망을 손에 쥐고 물자를 빼돌리고 있어.,내부에 침투했군. 부근방을 손에 쥐고 물자를 빼돌리고 있어.
yisunsin_012.mp3,코르넬리우스. 아우레우스 기업이 크리그에 기술 설계도를 팔고 있다면… 단순한 이윤이 아니다. 생체 병기 설계도가 그 손을 거쳐 넘어간 거야.,코르넬리우스 아우레우스기업이 크리그의 기술 설계도를 팔고 있다면? 단순한 이윤이 아니다. 생체 병기 설계도가 그 손을 거쳐 넘어간 거야.
yisunsin_013.mp3,"증거 없이 아우레우스를 적으로 돌려선 안 된다. 먼저, 확인한다.",증거 없이 아우레우스를 적으로 돌려선 안 된다. 먼저 확인한다.
yisunsin_014.mp3,광개토. 그 이름이 낯설지 않군. 당신 상선이 경매 시장의 모든 기록을 쥐고 있다는 것도.,광개토. 그 이름이 낯설지 않군. 당신 상선이 경매시장의 모든 기록을 쥐고 있다는 것도.
yisunsin_015.mp3,"거북선 — 내가 옛 지구에서, 가장 절박했던 전쟁에서 만든 함선이야. 현대 재료로 재현하면 크리그 요새를 정면 돌파할 수 있어.",거북선. 내가 옛 지구에서 가장 절박했던 전쟁에서 만든 함선이야. 현대 재료로 재현하면 크리그 요새를 정면 돌파할 수 있어.
yisunsin_016.mp3,메카니카 기어월드. 그곳에 장영실이라는 기술자가 있어. 옛 지구의 명장 장영실의 기술 DNA를 이어받은 복제 기술자야.,메카니카 기어 월드. 그곳에 장영실이라는 기술자가 있어. 옛 지구의 명장 장영실의 기술 디엔에이를 이어받은 복제 기술자야.
yisunsin_017.mp3,그를 데려와야 해. 거북선은 그 없이는 완성할 수 없어.,그를 데려와야 해. 거북선은 그 없이는 완성할 수 없어.
yisunsin_018.mp3,그분의 설계도를 갖고 왔소.,그분의 설계도를 갖고 왔소.
yisunsin_019.mp3,필요한 건 뭐든 구해 오겠소.,필요한 건 뭐든 구해오겠소.
yisunsin_020.mp3,타이탄H… 그리고 그 너머에 — 지구.,타이탄 에이치. 그리고 그 너머에 지구.
yisunsin_021.mp3,"사령관. 다음 방향은 타이탄H다. 연대를 공식화하고, 저항군 반물질을 확보한다.",사령관. 다음 방향은 타이탄 에이치다. 연대를 공식화하고 저항군 반물질을 확보한다.
